"id";"word";"transcriptionUs";"transcriptionUk";"soundUsPath";"soundUkPath";"translates"
"1";"abbreviation";"|əˌbrɪvɪˈeɪʃən|";"|əˌbriːvɪˈeɪʃən|";"./sound/us/abbreviation.mp3";"./sound/uk/abbreviation.mp3";"аббревиатура, сокращение, аббревиация"
"2";"about";"|əˈbaʊt|";"|əˈbaʊt|";"./sound/us/about.mp3";"./sound/uk/about.mp3";"о, об, около, по, около, меняющий курс, менять курс"
"3";"above";"|əˈbʌv|";"|əˈbʌv|";"./sound/us/above.mp3";"./sound/uk/above.mp3";"выше, более, свыше, выше, над, свыше, вышеупомянутое, упомянутый выше"
"4";"abroad";"|əˈbrɔːd|";"|əˈbrɔːd|";"./sound/us/abroad.mp3";"./sound/uk/abroad.mp3";"за границей, за границу, повсюду, заграница"
"5";"academic";"|ˌækəˈdemɪk|";"|ækəˈdemɪk|";"./sound/us/academic.mp3";"./sound/uk/academic.mp3";"академический, учебный, академичный, ученый, преподаватель, профессор"
"6";"accent";"|ˈæksent|";"|ˈæksent|";"./sound/us/accent.mp3";"./sound/uk/accent.mp3";"акцент, ударение, произношение, речь, язык, акцентировать, подчеркивать"
"7";"accept";"|əkˈsept|";"|əkˈsept|";"./sound/us/accept.mp3";"./sound/uk/accept.mp3";"принимать, признавать, соглашаться, брать, допускать, акцептовать, утверждать"
"8";"according";"|əˈkɔːrdɪŋ|";"|əˈkɔːdɪŋ|";"./sound/us/according.mp3";"./sound/uk/according.mp3";"следовательно"
"9";"accountant";"|əˈkaʊntənt|";"|əˈkaʊnt(ə)nt|";"./sound/us/accountant.mp3";"./sound/uk/accountant.mp3";"бухгалтер, счетовод, ответчик"
"10";"action";"|ˈækʃn|";"|ˈækʃ(ə)n|";"./sound/us/action.mp3";"./sound/uk/action.mp3";"действие, деятельность, акция, боевой"
"11";"activation";"|ˌæktɪˈveɪʃn|";"|æktɪˈveɪʃ(ə)n|";"./sound/us/activation.mp3";"./sound/uk/activation.mp3";"активация"
"12";"active";"|ˈæktɪv|";"|ˈæktɪv|";"./sound/us/active.mp3";"./sound/uk/active.mp3";"активный, действующий, действительный, действительный залог"
"13";"activity";"|ækˈtɪvətɪ|";"|ækˈtɪvɪtɪ|";"./sound/us/activity.mp3";"./sound/uk/activity.mp3";"активность, деятельность, радиоактивность, энергия, транзакция"
"14";"actor";"|ˈæktər|";"|ˈæktə|";"./sound/us/actor.mp3";"./sound/uk/actor.mp3";"актер, действующее лицо, деятель, лицедей"
"15";"actress";"|ˈæktrəs|";"|ˈæktrəs|";"./sound/us/actress.mp3";"./sound/uk/actress.mp3";"актриса, артистка"
"16";"adapted";"|əˈdæptəd|";"|əˈdæptɪd|";"./sound/us/adapted.mp3";"./sound/uk/adapted.mp3";"адаптированный, пригодный, подогнанный"
"17";"add";"|æd|";"|æd|";"./sound/us/add.mp3";"./sound/uk/add.mp3";"добавлять, сложить, прибавлять, придать, складывать, увеличивать, присоединять"
"18";"address";"|əˈdres|";"|əˈdres|";"./sound/us/address.mp3";"./sound/uk/address.mp3";"адрес, обращение, адресовать, обращаться, адресный"
"19";"adjective";"|ˈædʒɪktɪv|";"|ˈædʒɪktɪv|";"./sound/us/adjective.mp3";"./sound/uk/adjective.mp3";"прилагательное, имя прилагательное, несамостоятельный, зависимый"
"20";"administrator";"|ədˈmɪnɪstreɪtər|";"|ədˈmɪnɪstreɪtə|";"./sound/us/administrator.mp3";"./sound/uk/administrator.mp3";"администратор, управляющий, должностное лицо, опекун, экзекутор"
"21";"advantage";"|ədˈvæntɪdʒ|";"|ədˈvɑːntɪdʒ|";"./sound/us/advantage.mp3";"./sound/uk/advantage.mp3";"преимущество, польза, плюс, перевес, способствовать, благоприятствовать"
"22";"adverb";"|ˈædvɜːrb|";"|ˈædvɜːb|";"./sound/us/adverb.mp3";"./sound/uk/adverb.mp3";"наречие"
"23";"after";"|ˈæftər|";"|ˈɑːftə|";"./sound/us/after.mp3";"./sound/uk/after.mp3";"после, спустя, вслед, после, через, за, по, после того как, последующий, задний"
"24";"afternoon";"|ˌæftərˈnuːn|";"|ɑːftəˈnuːn|";"./sound/us/afternoon.mp3";"./sound/uk/afternoon.mp3";"после полудня, послеобеденное время"
"25";"again";"|əˈɡen|";"|əˈɡen|";"./sound/us/again.mp3";"./sound/uk/again.mp3";"снова, вновь, опять, еще раз, же, с другой стороны, кроме того, к тому же"
"26";"age";"|eɪdʒ|";"|eɪdʒ|";"./sound/us/age.mp3";"./sound/uk/age.mp3";"возраст, век, эпоха, период, старость, стареть, постареть, стариться, старить"
"27";"agent";"|ˈeɪdʒənt|";"|ˈeɪdʒ(ə)nt|";"./sound/us/agent.mp3";"./sound/uk/agent.mp3";"агент, средство, вещество, представитель, действующий"
"28";"agree";"|əˈɡriː|";"|əˈɡriː|";"./sound/us/agree.mp3";"./sound/uk/agree.mp3";"соглашаться, согласоваться, договариваться, согласовываться, соответствовать"
"29";"alcohol";"|ˈælkəhɔːl|";"|ˈælkəhɒl|";"./sound/us/alcohol.mp3";"./sound/uk/alcohol.mp3";"алкоголь, спирт, спиртные напитки"
"30";"all";"|ɔːl|";"|ɔːl|";"./sound/us/all.mp3";"./sound/uk/all.mp3";"все, весь, целый, все, целое, все, весь, вся, совершенно, всецело"
"31";"alphabet";"|ˈælfəbet|";"|ˈælfəbet|";"./sound/us/alphabet.mp3";"./sound/uk/alphabet.mp3";"алфавит, азбука"
"32";"also";"|ˈɔːlsəʊ|";"|ˈɔːlsəʊ|";"./sound/us/also.mp3";"./sound/uk/also.mp3";"также, тоже, к тому же"
"33";"alternative";"|ɔːlˈtɜːrnətɪv|";"|ɔːlˈtɜːnətɪv|";"./sound/us/alternative.mp3";"./sound/uk/alternative.mp3";"альтернативный, переменный, альтернатива, выбор"
"34";"always";"|ˈɔːlweɪz|";"|ˈɔːlweɪz|";"./sound/us/always.mp3";"./sound/uk/always.mp3";"всегда, постоянно, вечно, вообще"
"35";"amazing";"|əˈmeɪzɪŋ|";"|əˈmeɪzɪŋ|";"./sound/us/amazing.mp3";"./sound/uk/amazing.mp3";"удивительный, изумительный, поразительный"
"36";"angry";"|ˈæŋɡrɪ|";"|ˈæŋɡrɪ|";"./sound/us/angry.mp3";"./sound/uk/angry.mp3";"сердитый, разгневанный, гневный, раздраженный, грозный, воспаленный, зловещий"
"37";"animal";"|ˈænɪml|";"|ˈænɪm(ə)l|";"./sound/us/animal.mp3";"./sound/uk/animal.mp3";"животный, звериный, анимальный, скотский, животное, зверь, скотина"
"38";"another";"|əˈnʌðər|";"|əˈnʌðə|";"./sound/us/another.mp3";"./sound/uk/another.mp3";"другой, иной, подобный, еще один, отличный от, похожий"
"39";"answer";"|ˈænsər|";"|ˈɑːnsə|";"./sound/us/answer.mp3";"./sound/uk/answer.mp3";"ответ, решение, возражение, реакция, отвечать, реагировать, удовлетворять"
"40";"any";"|ˈenɪ|";"|ˈenɪ|";"./sound/us/any.mp3";"./sound/uk/any.mp3";"любой, никакой, какой-либо, никакой, какой-нибудь, сколько-нибудь, вообще"
"41";"anything";"|ˈenɪθɪŋ|";"|ˈenɪθɪŋ|";"./sound/us/anything.mp3";"./sound/uk/anything.mp3";"что-нибудь, все, что-либо, что угодно, сколько-нибудь, в какой-либо мере"
"42";"application";"|ˌæplɪˈkeɪʃn|";"|æplɪˈkeɪʃ(ə)n|";"./sound/us/application.mp3";"./sound/uk/application.mp3";"применение, приложение, заявка, заявление, прошение, применимость, просьба"
"43";"april";"|ˈeɪprəl|";"|ˈeɪpr(ɪ)l|";"./sound/us/april.mp3";"./sound/uk/april.mp3";"апрель, апрельский"
"44";"architect";"|ˈɑːrkɪtekt|";"|ˈɑːkɪtekt|";"./sound/us/architect.mp3";"./sound/uk/architect.mp3";"архитектор, зодчий, создатель, творец"
"45";"arrive";"|əˈraɪv|";"|əˈraɪv|";"./sound/us/arrive.mp3";"./sound/uk/arrive.mp3";"прибывать, приехать, приезжать, достигать, прилетать, наступать, доезжать, родиться"
"46";"arriving";"|əˈraɪvɪŋ|";"|əˈraɪvɪŋ|";"./sound/us/arriving.mp3";"./sound/uk/arriving.mp3";"прибывающий"
"47";"art";"|ɑːrt|";"|ɑːt|";"./sound/us/art.mp3";"./sound/uk/art.mp3";"искусство, мастерство, художественный, статья, искусственный"
"48";"article";"|ˈɑːrtɪkl|";"|ˈɑːtɪk(ə)l|";"./sound/us/article.mp3";"./sound/uk/article.mp3";"статья, изделие, вещь, предмет, пункт, предъявлять пункты обвинения"
"49";"artist";"|ˈɑːrtɪst|";"|ˈɑːtɪst|";"./sound/us/artist.mp3";"./sound/uk/artist.mp3";"художник, артист, мастер своего дела, эстрадный артист"
"50";"as";"|æz|";"|əz|";"./sound/us/as.mp3";"./sound/uk/as.mp3";"как, согласно, как, так как, когда, какой, что, который, в качестве, в виде"
"51";"ask";"|æsk|";"|ɑːsk|";"./sound/us/ask.mp3";"./sound/uk/ask.mp3";"просить, проситься, спрашивать, запрашивать, требовать, испрашивать, приглашать"
"52";"assistant";"|əˈsɪstənt|";"|əˈsɪst(ə)nt|";"./sound/us/assistant.mp3";"./sound/uk/assistant.mp3";"помощник, ассистент, лаборант, помогающий"
"53";"at";"|æt|";"|ət|";"./sound/us/at.mp3";"./sound/uk/at.mp3";"в, на, при, у, за, около, собака, атомный, герметический"
"54";"attach";"|əˈtætʃ|";"|əˈtætʃ|";"./sound/us/attach.mp3";"./sound/uk/attach.mp3";"придавать, прикреплять, присоединять, привязывать, прикладывать, связывать"
"55";"attendant";"|əˈtendənt|";"|əˈtend(ə)nt|";"./sound/us/attendant.mp3";"./sound/uk/attendant.mp3";"сопутствующий, сопровождающий, служитель, слуга, сопровождающее лицо"
"56";"august";"|ˈɔːɡəst|";"|ɔːˈɡʌst|";"./sound/us/august.mp3";"./sound/uk/august.mp3";"август, августейший, августовский, величественный"
"57";"auxiliary";"|ɔːɡˈzɪlɪərɪ|";"|ɔːɡˈzɪlɪərɪ|";"./sound/us/auxiliary.mp3";"./sound/uk/auxiliary.mp3";"вспомогательный, дополнительный, вспомогательное устройство, помощник"
"58";"available";"|əˈveɪləbl|";"|əˈveɪləb(ə)l|";"./sound/us/available.mp3";"./sound/uk/available.mp3";"доступный, имеющийся, налицо, имеющийся в наличии, наличный"
"59";"average";"|ˈævərɪdʒ|";"|ˈæv(ə)rɪdʒ|";"./sound/us/average.mp3";"./sound/uk/average.mp3";"средний, обычный, среднее число, составлять"
"60";"away";"|əˈweɪ|";"|əˈweɪ|";"./sound/us/away.mp3";"./sound/uk/away.mp3";"далеко, прочь, вон, долой, в отсутствие, удаленный, отстоящий"
"61";"awful";"|ˈɔːfl|";"|ˈɔːfʊl|";"./sound/us/awful.mp3";"./sound/uk/awful.mp3";"ужасный, внушающий страх, очень"
"62";"baby";"|ˈbeɪbɪ|";"|ˈbeɪbɪ|";"./sound/us/baby.mp3";"./sound/uk/baby.mp3";"ребенок, малыш, младенец, детский, младенческий, баловать"
"63";"back";"|bæk|";"|bæk|";"./sound/us/back.mp3";"./sound/uk/back.mp3";"назад, обратно, обратный, задний, спина, защитник, отступать"
"64";"bad";"|bæd|";"|bæd|";"./sound/us/bad.mp3";"./sound/uk/bad.mp3";"плохой, дурной, нехороший, дурно, нехорошо, неудача, несчастье, убыток"
"65";"bag";"|bæɡ|";"|bæɡ|";"./sound/us/bag.mp3";"./sound/uk/bag.mp3";"мешок, сумка, чемодан, карман, мешочный, собирать, оттопыриваться"
